iucn_sid,stressor,sens
133102,oa,TRUE
133102,slr,NA
133102,sst,TRUE
133103,oa,TRUE
133103,slr,NA
133103,sst,TRUE
133104,oa,TRUE
133104,slr,NA
133104,sst,TRUE
133105,oa,TRUE
133105,slr,NA
133105,sst,TRUE
133106,oa,TRUE
133106,slr,NA
133106,sst,TRUE
133107,oa,TRUE
133107,slr,NA
133107,sst,TRUE
133108,oa,TRUE
133108,slr,NA
133108,sst,TRUE
133109,oa,TRUE
133109,slr,NA
133109,sst,TRUE
133110,oa,TRUE
133110,slr,NA
133110,sst,TRUE
133111,oa,TRUE
133111,slr,NA
133111,sst,TRUE
133112,oa,TRUE
133112,slr,NA
133112,sst,TRUE
133113,oa,TRUE
133113,slr,NA
133113,sst,TRUE
133114,oa,TRUE
133114,slr,NA
133114,sst,TRUE
133115,oa,TRUE
133115,slr,NA
133115,sst,TRUE
133116,oa,TRUE
133116,slr,NA
133116,sst,TRUE
133117,oa,TRUE
133117,slr,NA
133117,sst,TRUE
133118,oa,TRUE
133118,slr,NA
133118,sst,TRUE
133119,oa,TRUE
133119,slr,NA
133119,sst,TRUE
133120,oa,TRUE
133120,slr,NA
133120,sst,TRUE
133121,oa,TRUE
133121,slr,NA
133121,sst,TRUE
133122,oa,TRUE
133122,slr,NA
133122,sst,TRUE
133123,oa,TRUE
133123,slr,NA
133123,sst,TRUE
133124,oa,TRUE
133124,slr,NA
133124,sst,TRUE
133125,oa,TRUE
133125,slr,NA
133125,sst,TRUE
133126,oa,TRUE
133126,slr,NA
133126,sst,TRUE
133127,oa,TRUE
133127,slr,NA
133127,sst,TRUE
133128,oa,TRUE
133128,slr,NA
133128,sst,TRUE
133129,oa,TRUE
133129,slr,NA
133129,sst,TRUE
133130,oa,TRUE
133130,slr,NA
133130,sst,TRUE
133131,oa,TRUE
133131,slr,NA
133131,sst,TRUE
133132,oa,TRUE
133132,slr,NA
133132,sst,TRUE
133133,oa,TRUE
133133,slr,NA
133133,sst,TRUE
133134,oa,TRUE
133134,slr,NA
133134,sst,TRUE
133135,oa,TRUE
133135,slr,NA
133135,sst,TRUE
133137,oa,TRUE
133137,slr,NA
133137,sst,TRUE
133138,oa,TRUE
133138,slr,NA
133138,sst,TRUE
133139,oa,TRUE
133139,slr,NA
133139,sst,TRUE
133140,oa,TRUE
133140,slr,NA
133140,sst,TRUE
133141,oa,TRUE
133141,slr,NA
133141,sst,TRUE
133143,oa,TRUE
133143,slr,NA
133143,sst,TRUE
133144,oa,TRUE
133144,slr,NA
133144,sst,TRUE
133145,oa,TRUE
133145,slr,NA
133145,sst,TRUE
133146,oa,TRUE
133146,slr,NA
133146,sst,TRUE
133147,oa,TRUE
133147,slr,NA
133147,sst,TRUE
133148,oa,TRUE
133148,slr,NA
133148,sst,TRUE
133149,oa,TRUE
133149,slr,NA
133149,sst,TRUE
133150,oa,TRUE
133150,slr,NA
133150,sst,TRUE
133151,oa,TRUE
133151,slr,NA
133151,sst,TRUE
133152,oa,TRUE
133152,slr,NA
133152,sst,TRUE
133153,oa,TRUE
133153,slr,NA
133153,sst,TRUE
133154,oa,TRUE
133154,slr,NA
133154,sst,TRUE
133155,oa,TRUE
133155,slr,NA
133155,sst,TRUE
133156,oa,TRUE
133156,slr,NA
133156,sst,TRUE
133157,oa,TRUE
133157,slr,NA
133157,sst,TRUE
133158,oa,TRUE
133158,slr,NA
133158,sst,TRUE
133159,oa,TRUE
133159,slr,NA
133159,sst,TRUE
133160,oa,TRUE
133160,slr,NA
133160,sst,TRUE
133161,oa,TRUE
133161,slr,NA
133161,sst,TRUE
133162,oa,TRUE
133162,slr,NA
133162,sst,TRUE
133163,oa,TRUE
133163,slr,NA
133163,sst,TRUE
133164,oa,TRUE
133164,slr,NA
133164,sst,TRUE
133165,oa,TRUE
133165,slr,NA
133165,sst,TRUE
133166,oa,TRUE
133166,slr,NA
133166,sst,TRUE
133167,oa,TRUE
133167,slr,NA
133167,sst,TRUE
133168,oa,TRUE
133168,slr,NA
133168,sst,TRUE
133169,oa,TRUE
133169,slr,NA
133169,sst,TRUE
133170,oa,TRUE
133170,slr,NA
133170,sst,TRUE
133171,oa,TRUE
133171,slr,NA
133171,sst,TRUE
133172,oa,TRUE
133172,slr,NA
133172,sst,TRUE
133173,oa,TRUE
133173,slr,NA
133173,sst,TRUE
133174,oa,TRUE
133174,slr,NA
133174,sst,TRUE
133175,oa,TRUE
133175,slr,NA
133175,sst,TRUE
133176,oa,TRUE
133176,slr,NA
133176,sst,TRUE
133177,oa,TRUE
133177,slr,NA
133177,sst,TRUE
133178,oa,TRUE
133178,slr,NA
133178,sst,TRUE
133179,oa,TRUE
133179,slr,NA
133179,sst,TRUE
133180,oa,TRUE
133180,slr,NA
133180,sst,TRUE
133182,oa,TRUE
133182,slr,NA
133182,sst,TRUE
133183,oa,TRUE
133183,slr,NA
133183,sst,TRUE
133184,oa,TRUE
133184,slr,NA
133184,sst,TRUE
133185,oa,TRUE
133185,slr,NA
133185,sst,TRUE
133186,oa,TRUE
133186,slr,NA
133186,sst,TRUE
133187,oa,TRUE
133187,slr,NA
133187,sst,TRUE
133188,oa,TRUE
133188,slr,NA
133188,sst,TRUE
133189,oa,TRUE
133189,slr,NA
133189,sst,TRUE
133190,oa,TRUE
133190,slr,NA
133190,sst,TRUE
133191,oa,TRUE
133191,slr,NA
133191,sst,TRUE
133192,oa,TRUE
133192,slr,NA
133192,sst,TRUE
133193,oa,TRUE
133193,slr,NA
133193,sst,TRUE
133194,oa,TRUE
133194,slr,NA
133194,sst,TRUE
133195,oa,TRUE
133195,slr,NA
133195,sst,TRUE
133196,oa,TRUE
133196,slr,NA
133196,sst,TRUE
133197,oa,TRUE
133197,slr,NA
133197,sst,TRUE
133198,oa,TRUE
133198,slr,NA
133198,sst,TRUE
133199,oa,TRUE
133199,slr,NA
133199,sst,TRUE
133200,oa,TRUE
133200,slr,NA
133200,sst,TRUE
133201,oa,TRUE
133201,slr,NA
133201,sst,TRUE
133202,oa,TRUE
133202,slr,NA
133202,sst,TRUE
133203,oa,TRUE
133203,slr,NA
133203,sst,TRUE
133204,oa,TRUE
133204,slr,NA
133204,sst,TRUE
133205,oa,TRUE
133205,slr,NA
133205,sst,TRUE
133206,oa,TRUE
133206,slr,NA
133206,sst,TRUE
133207,oa,TRUE
133207,slr,NA
133207,sst,TRUE
133208,oa,TRUE
133208,slr,NA
133208,sst,TRUE
133209,oa,TRUE
133209,slr,NA
133209,sst,TRUE
133210,oa,TRUE
133210,slr,NA
133210,sst,TRUE
133211,oa,TRUE
133211,slr,NA
133211,sst,TRUE
133212,oa,TRUE
133212,slr,NA
133212,sst,TRUE
133213,oa,TRUE
133213,slr,NA
133213,sst,TRUE
133214,oa,TRUE
133214,slr,NA
133214,sst,TRUE
133215,oa,TRUE
133215,slr,NA
133215,sst,TRUE
133216,oa,TRUE
133216,slr,NA
133216,sst,TRUE
133217,oa,TRUE
133217,slr,NA
133217,sst,TRUE
133218,oa,TRUE
133218,slr,NA
133218,sst,TRUE
133219,oa,TRUE
133219,slr,NA
133219,sst,TRUE
133220,oa,TRUE
133220,slr,NA
133220,sst,TRUE
133221,oa,TRUE
133221,slr,NA
133221,sst,TRUE
133222,oa,TRUE
133222,slr,NA
133222,sst,TRUE
133223,oa,TRUE
133223,slr,NA
133223,sst,TRUE
133224,oa,TRUE
133224,slr,NA
133224,sst,TRUE
133225,oa,TRUE
133225,slr,NA
133225,sst,TRUE
133226,oa,TRUE
133226,slr,NA
133226,sst,TRUE
133227,oa,TRUE
133227,slr,NA
133227,sst,TRUE
133228,oa,TRUE
133228,slr,NA
133228,sst,TRUE
133229,oa,TRUE
133229,slr,NA
133229,sst,TRUE
133230,oa,TRUE
133230,slr,NA
133230,sst,TRUE
133231,oa,TRUE
133231,slr,NA
133231,sst,TRUE
133232,oa,TRUE
133232,slr,NA
133232,sst,TRUE
133233,oa,TRUE
133233,slr,NA
133233,sst,TRUE
133234,oa,TRUE
133234,slr,NA
133234,sst,TRUE
133235,oa,TRUE
133235,slr,NA
133235,sst,TRUE
133236,oa,TRUE
133236,slr,NA
133236,sst,TRUE
133237,oa,TRUE
133237,slr,NA
133237,sst,TRUE
133238,oa,TRUE
133238,slr,NA
133238,sst,TRUE
133239,oa,TRUE
133239,slr,NA
133239,sst,TRUE
133241,oa,TRUE
133241,slr,NA
133241,sst,TRUE
133242,oa,TRUE
133242,slr,NA
133242,sst,TRUE
133243,oa,TRUE
133243,slr,NA
133243,sst,TRUE
133244,oa,TRUE
133244,slr,NA
133244,sst,TRUE
133245,oa,TRUE
133245,slr,NA
133245,sst,TRUE
133246,oa,TRUE
133246,slr,NA
133246,sst,TRUE
133247,oa,TRUE
133247,slr,NA
133247,sst,TRUE
133248,oa,TRUE
133248,slr,NA
133248,sst,TRUE
133249,oa,TRUE
133249,slr,NA
133249,sst,TRUE
133250,oa,TRUE
133250,slr,NA
133250,sst,TRUE
133251,oa,TRUE
133251,slr,NA
133251,sst,TRUE
133252,oa,TRUE
133252,slr,NA
133252,sst,TRUE
133253,oa,TRUE
133253,slr,NA
133253,sst,TRUE
133254,oa,TRUE
133254,slr,NA
133254,sst,TRUE
133255,oa,TRUE
133255,slr,NA
133255,sst,TRUE
133256,oa,TRUE
133256,slr,NA
133256,sst,TRUE
133257,oa,TRUE
133257,slr,NA
133257,sst,TRUE
133258,oa,TRUE
133258,slr,NA
133258,sst,TRUE
133259,oa,TRUE
133259,slr,NA
133259,sst,TRUE
133260,oa,TRUE
133260,slr,NA
133260,sst,TRUE
133261,oa,TRUE
133261,slr,NA
133261,sst,TRUE
133262,oa,TRUE
133262,slr,NA
133262,sst,TRUE
133263,oa,TRUE
133263,slr,NA
133263,sst,TRUE
133264,oa,TRUE
133264,slr,NA
133264,sst,TRUE
133265,oa,TRUE
133265,slr,NA
133265,sst,TRUE
133266,oa,TRUE
133266,slr,NA
133266,sst,TRUE
133267,oa,TRUE
133267,slr,NA
133267,sst,TRUE
133268,oa,TRUE
133268,slr,NA
133268,sst,TRUE
133269,oa,TRUE
133269,slr,NA
133269,sst,TRUE
133270,oa,TRUE
133270,slr,NA
133270,sst,TRUE
133271,oa,TRUE
133271,slr,NA
133271,sst,TRUE
133272,oa,TRUE
133272,slr,NA
133272,sst,TRUE
133273,oa,TRUE
133273,slr,NA
133273,sst,TRUE
133274,oa,TRUE
133274,slr,NA
133274,sst,TRUE
133275,oa,TRUE
133275,slr,NA
133275,sst,TRUE
133276,oa,TRUE
133276,slr,NA
133276,sst,TRUE
133277,oa,TRUE
133277,slr,NA
133277,sst,TRUE
133278,oa,TRUE
133278,slr,NA
133278,sst,TRUE
133279,oa,TRUE
133279,slr,NA
133279,sst,TRUE
133280,oa,TRUE
133280,slr,NA
133280,sst,TRUE
133281,oa,TRUE
133281,slr,NA
133281,sst,TRUE
133282,oa,TRUE
133282,slr,NA
133282,sst,TRUE
133283,oa,TRUE
133283,slr,NA
133283,sst,TRUE
133284,oa,TRUE
133284,slr,NA
133284,sst,TRUE
133285,oa,TRUE
133285,slr,NA
133285,sst,TRUE
133286,oa,TRUE
133286,slr,NA
133286,sst,TRUE
133287,oa,TRUE
133287,slr,NA
133287,sst,TRUE
133288,oa,TRUE
133288,slr,NA
133288,sst,TRUE
133289,oa,TRUE
133289,slr,NA
133289,sst,TRUE
133290,oa,TRUE
133290,slr,NA
133290,sst,TRUE
133291,oa,TRUE
133291,slr,NA
133291,sst,TRUE
133292,oa,TRUE
133292,slr,NA
133292,sst,TRUE
133293,oa,TRUE
133293,slr,NA
133293,sst,TRUE
133294,oa,TRUE
133294,slr,NA
133294,sst,TRUE
133295,oa,TRUE
133295,slr,NA
133295,sst,TRUE
133296,oa,TRUE
133296,slr,NA
133296,sst,TRUE
133297,oa,TRUE
133297,slr,NA
133297,sst,TRUE
133298,oa,TRUE
133298,slr,NA
133298,sst,TRUE
133299,oa,TRUE
133299,slr,NA
133299,sst,TRUE
133300,oa,TRUE
133300,slr,NA
133300,sst,TRUE
133301,oa,TRUE
133301,slr,NA
133301,sst,TRUE
133302,oa,TRUE
133302,slr,NA
133302,sst,TRUE
133303,oa,TRUE
133303,slr,NA
133303,sst,TRUE
133304,oa,TRUE
133304,slr,NA
133304,sst,TRUE
133305,oa,TRUE
133305,slr,NA
133305,sst,TRUE
133306,oa,TRUE
133306,slr,NA
133306,sst,TRUE
133307,oa,TRUE
133307,slr,NA
133307,sst,TRUE
133308,oa,TRUE
133308,slr,NA
133308,sst,TRUE
133309,oa,TRUE
133309,slr,NA
133309,sst,TRUE
133310,oa,TRUE
133310,slr,NA
133310,sst,TRUE
133311,oa,TRUE
133311,slr,NA
133311,sst,TRUE
133312,oa,TRUE
133312,slr,NA
133312,sst,TRUE
133313,oa,TRUE
133313,slr,NA
133313,sst,TRUE
133314,oa,TRUE
133314,slr,NA
133314,sst,TRUE
133315,oa,TRUE
133315,slr,NA
133315,sst,TRUE
133316,oa,TRUE
133316,slr,NA
133316,sst,TRUE
133317,oa,TRUE
133317,slr,NA
133317,sst,TRUE
133318,oa,TRUE
133318,slr,NA
133318,sst,TRUE
133319,oa,TRUE
133319,slr,NA
133319,sst,TRUE
133320,oa,TRUE
133320,slr,NA
133320,sst,TRUE
133321,oa,TRUE
133321,slr,NA
133321,sst,TRUE
133322,oa,TRUE
133322,slr,NA
133322,sst,TRUE
133323,oa,TRUE
133323,slr,NA
133323,sst,TRUE
133324,oa,TRUE
133324,slr,NA
133324,sst,TRUE
133325,oa,TRUE
133325,slr,NA
133325,sst,TRUE
133326,oa,TRUE
133326,slr,NA
133326,sst,TRUE
133327,oa,TRUE
133327,slr,NA
133327,sst,TRUE
133328,oa,TRUE
133328,slr,NA
133328,sst,TRUE
133329,oa,TRUE
133329,slr,NA
133329,sst,TRUE
133330,oa,TRUE
133330,slr,NA
133330,sst,TRUE
133331,oa,TRUE
133331,slr,NA
133331,sst,TRUE
133332,oa,TRUE
133332,slr,NA
133332,sst,TRUE
133333,oa,TRUE
133333,slr,NA
133333,sst,TRUE
133334,oa,TRUE
133334,slr,NA
133334,sst,TRUE
133335,oa,TRUE
133335,slr,NA
133335,sst,TRUE
133336,oa,TRUE
133336,slr,NA
133336,sst,TRUE
133337,oa,TRUE
133337,slr,NA
133337,sst,TRUE
133338,oa,TRUE
133338,slr,NA
133338,sst,TRUE
133339,oa,TRUE
133339,slr,NA
133339,sst,TRUE
133340,oa,TRUE
133340,slr,NA
133340,sst,TRUE
133341,oa,TRUE
133341,slr,NA
133341,sst,TRUE
133343,oa,TRUE
133343,slr,NA
133343,sst,TRUE
133344,oa,TRUE
133344,slr,NA
133344,sst,TRUE
133345,oa,TRUE
133345,slr,NA
133345,sst,TRUE
133346,oa,TRUE
133346,slr,NA
133346,sst,TRUE
133347,oa,TRUE
133347,slr,NA
133347,sst,TRUE
133348,oa,TRUE
133348,slr,NA
133348,sst,TRUE
133349,oa,TRUE
133349,slr,NA
133349,sst,TRUE
133350,oa,TRUE
133350,slr,NA
133350,sst,TRUE
133351,oa,TRUE
133351,slr,NA
133351,sst,TRUE
133352,oa,TRUE
133352,slr,NA
133352,sst,TRUE
133353,oa,TRUE
133353,slr,NA
133353,sst,TRUE
133354,oa,TRUE
133354,slr,NA
133354,sst,TRUE
133355,oa,TRUE
133355,slr,NA
133355,sst,TRUE
133356,oa,TRUE
133356,slr,NA
133356,sst,TRUE
133357,oa,TRUE
133357,slr,NA
133357,sst,TRUE
133358,oa,TRUE
133358,slr,NA
133358,sst,TRUE
133359,oa,TRUE
133359,slr,NA
133359,sst,TRUE
133360,oa,TRUE
133360,slr,NA
133360,sst,TRUE
133361,oa,TRUE
133361,slr,NA
133361,sst,TRUE
133362,oa,TRUE
133362,slr,NA
133362,sst,TRUE
133363,oa,TRUE
133363,slr,NA
133363,sst,TRUE
133364,oa,TRUE
133364,slr,NA
133364,sst,TRUE
133365,oa,TRUE
133365,slr,NA
133365,sst,TRUE
133366,oa,TRUE
133366,slr,NA
133366,sst,TRUE
133367,oa,TRUE
133367,slr,NA
133367,sst,TRUE
133368,oa,TRUE
133368,slr,NA
133368,sst,TRUE
133369,oa,TRUE
133369,slr,NA
133369,sst,TRUE
133370,oa,TRUE
133370,slr,NA
133370,sst,TRUE
133371,oa,TRUE
133371,slr,NA
133371,sst,TRUE
133372,oa,TRUE
133372,slr,NA
133372,sst,TRUE
133373,oa,TRUE
133373,slr,NA
133373,sst,TRUE
133374,oa,TRUE
133374,slr,NA
133374,sst,TRUE
133375,oa,TRUE
133375,slr,NA
133375,sst,TRUE
133376,oa,TRUE
133376,slr,NA
133376,sst,TRUE
133377,oa,TRUE
133377,slr,NA
133377,sst,TRUE
133378,oa,TRUE
133378,slr,NA
133378,sst,TRUE
133379,oa,TRUE
133379,slr,NA
133379,sst,TRUE
133380,oa,TRUE
133380,slr,NA
133380,sst,TRUE
133381,oa,TRUE
133381,slr,NA
133381,sst,TRUE
133382,oa,TRUE
133382,slr,NA
133382,sst,TRUE
133383,oa,TRUE
133383,slr,NA
133383,sst,TRUE
133384,oa,TRUE
133384,slr,NA
133384,sst,TRUE
133385,oa,TRUE
133385,slr,NA
133385,sst,TRUE
133386,oa,TRUE
133386,slr,NA
133386,sst,TRUE
133387,oa,TRUE
133387,slr,NA
133387,sst,TRUE
133388,oa,TRUE
133388,slr,NA
133388,sst,TRUE
133389,oa,TRUE
133389,slr,NA
133389,sst,TRUE
133390,oa,TRUE
133390,slr,NA
133390,sst,TRUE
133391,oa,TRUE
133391,slr,NA
133391,sst,TRUE
133392,oa,TRUE
133392,slr,NA
133392,sst,TRUE
133393,oa,TRUE
133393,slr,NA
133393,sst,TRUE
133394,oa,TRUE
133394,slr,NA
133394,sst,TRUE
133395,oa,TRUE
133395,slr,NA
133395,sst,TRUE
133396,oa,TRUE
133396,slr,NA
133396,sst,TRUE
133397,oa,TRUE
133397,slr,NA
133397,sst,TRUE
133398,oa,TRUE
133398,slr,NA
133398,sst,TRUE
133399,oa,TRUE
133399,slr,NA
133399,sst,TRUE
133400,oa,TRUE
133400,slr,NA
133400,sst,TRUE
133401,oa,TRUE
133401,slr,NA
133401,sst,TRUE
133402,oa,TRUE
133402,slr,NA
133402,sst,TRUE
133403,oa,TRUE
133403,slr,NA
133403,sst,TRUE
133404,oa,TRUE
133404,slr,NA
133404,sst,TRUE
133405,oa,TRUE
133405,slr,NA
133405,sst,TRUE
133406,oa,TRUE
133406,slr,NA
133406,sst,TRUE
133407,oa,TRUE
133407,slr,NA
133407,sst,TRUE
133408,oa,TRUE
133408,slr,NA
133408,sst,TRUE
133409,oa,TRUE
133409,slr,NA
133409,sst,TRUE
133410,oa,TRUE
133410,slr,NA
133410,sst,TRUE
133411,oa,TRUE
133411,slr,NA
133411,sst,TRUE
133412,oa,TRUE
133412,slr,NA
133412,sst,TRUE
133413,oa,TRUE
133413,slr,NA
133413,sst,TRUE
133414,oa,TRUE
133414,slr,NA
133414,sst,TRUE
133415,oa,TRUE
133415,slr,NA
133415,sst,TRUE
133416,oa,TRUE
133416,slr,NA
133416,sst,TRUE
133417,oa,TRUE
133417,slr,NA
133417,sst,TRUE
133418,oa,TRUE
133418,slr,NA
133418,sst,TRUE
133419,oa,TRUE
133419,slr,NA
133419,sst,TRUE
133420,oa,TRUE
133420,slr,NA
133420,sst,TRUE
133421,oa,TRUE
133421,slr,NA
133421,sst,TRUE
133422,oa,TRUE
133422,slr,NA
133422,sst,TRUE
133423,oa,TRUE
133423,slr,NA
133423,sst,TRUE
133424,oa,TRUE
133424,slr,NA
133424,sst,TRUE
133425,oa,TRUE
133425,slr,NA
133425,sst,TRUE
133426,oa,TRUE
133426,slr,NA
133426,sst,TRUE
133427,oa,TRUE
133427,slr,NA
133427,sst,TRUE
133428,oa,TRUE
133428,slr,NA
133428,sst,TRUE
133429,oa,TRUE
133429,slr,NA
133429,sst,TRUE
133430,oa,TRUE
133430,slr,NA
133430,sst,TRUE
133431,oa,TRUE
133431,slr,NA
133431,sst,TRUE
133432,oa,TRUE
133432,slr,NA
133432,sst,TRUE
133433,oa,TRUE
133433,slr,NA
133433,sst,TRUE
133434,oa,TRUE
133434,slr,NA
133434,sst,TRUE
133435,oa,TRUE
133435,slr,NA
133435,sst,TRUE
133436,oa,TRUE
133436,slr,NA
133436,sst,TRUE
133437,oa,TRUE
133437,slr,NA
133437,sst,TRUE
133438,oa,TRUE
133438,slr,NA
133438,sst,TRUE
133439,oa,TRUE
133439,slr,NA
133439,sst,TRUE
133440,oa,TRUE
133440,slr,NA
133440,sst,TRUE
133441,oa,TRUE
133441,slr,NA
133441,sst,TRUE
133442,oa,TRUE
133442,slr,NA
133442,sst,TRUE
133443,oa,TRUE
133443,slr,NA
133443,sst,TRUE
133444,oa,TRUE
133444,slr,NA
133444,sst,TRUE
133445,oa,TRUE
133445,slr,NA
133445,sst,TRUE
133446,oa,TRUE
133446,slr,NA
133446,sst,TRUE
133447,oa,TRUE
133447,slr,NA
133447,sst,TRUE
133448,oa,TRUE
133448,slr,NA
133448,sst,TRUE
133449,oa,TRUE
133449,slr,NA
133449,sst,TRUE
133450,oa,TRUE
133450,slr,NA
133450,sst,TRUE
133451,oa,TRUE
133451,slr,NA
133451,sst,TRUE
133453,oa,TRUE
133453,slr,NA
133453,sst,TRUE
133454,oa,TRUE
133454,slr,NA
133454,sst,TRUE
133455,oa,TRUE
133455,slr,NA
133455,sst,TRUE
