iucn_sid,stressor,sens
2057,oa,FALSE
2057,slr,FALSE
2057,sst,TRUE
2058,oa,FALSE
2058,slr,FALSE
2058,sst,TRUE
2059,oa,FALSE
2059,slr,FALSE
2059,sst,FALSE
2060,oa,FALSE
2060,slr,TRUE
2060,sst,TRUE
2062,oa,FALSE
2062,slr,FALSE
2062,sst,TRUE
2066,oa,FALSE
2066,slr,TRUE
2066,sst,TRUE
2067,oa,FALSE
2067,slr,FALSE
2067,sst,TRUE
2762,oa,FALSE
2762,slr,NA
2762,sst,FALSE
2763,oa,FALSE
2763,slr,NA
2763,sst,FALSE
2958,oa,FALSE
2958,slr,NA
2958,sst,FALSE
3590,oa,FALSE
3590,slr,FALSE
3590,sst,TRUE
3897,oa,FALSE
3897,slr,TRUE
3897,sst,TRUE
4161,oa,FALSE
4161,slr,NA
4161,sst,TRUE
6335,oa,FALSE
6335,slr,NA
6335,sst,TRUE
6336,oa,FALSE
6336,slr,NA
6336,sst,TRUE
6494,oa,FALSE
6494,slr,FALSE
6494,sst,FALSE
6814,oa,FALSE
6814,slr,FALSE
6814,sst,FALSE
8005,oa,FALSE
8005,slr,TRUE
8005,sst,TRUE
8010,oa,TRUE
8010,slr,FALSE
8010,sst,TRUE
8153,oa,FALSE
8153,slr,NA
8153,sst,TRUE
9250,oa,FALSE
9250,slr,NA
9250,sst,FALSE
10060,oa,FALSE
10060,slr,NA
10060,sst,FALSE
10064,oa,FALSE
10064,slr,NA
10064,sst,FALSE
10070,oa,FALSE
10070,slr,NA
10070,sst,FALSE
10083,oa,FALSE
10083,slr,NA
10083,sst,FALSE
10340,oa,FALSE
10340,slr,TRUE
10340,sst,TRUE
10707,oa,FALSE
10707,slr,NA
10707,sst,FALSE
10708,oa,FALSE
10708,slr,NA
10708,sst,FALSE
11047,oa,FALSE
11047,slr,NA
11047,sst,FALSE
11048,oa,FALSE
11048,slr,NA
11048,sst,FALSE
11141,oa,FALSE
11141,slr,NA
11141,sst,FALSE
11142,oa,FALSE
11142,slr,NA
11142,sst,FALSE
11145,oa,FALSE
11145,slr,NA
11145,sst,FALSE
11696,oa,FALSE
11696,slr,FALSE
11696,sst,FALSE
11987,oa,FALSE
11987,slr,FALSE
11987,sst,FALSE
12137,oa,FALSE
12137,slr,NA
12137,sst,FALSE
12246,oa,FALSE
12246,slr,TRUE
12246,sst,TRUE
12695,oa,FALSE
12695,slr,TRUE
12695,sst,TRUE
13145,oa,FALSE
13145,slr,FALSE
13145,sst,FALSE
13241,oa,FALSE
13241,slr,NA
13241,sst,TRUE
13242,oa,FALSE
13242,slr,NA
13242,sst,FALSE
13243,oa,FALSE
13243,slr,NA
13243,sst,FALSE
13244,oa,FALSE
13244,slr,NA
13244,sst,FALSE
13245,oa,FALSE
13245,slr,NA
13245,sst,FALSE
13246,oa,FALSE
13246,slr,NA
13246,sst,FALSE
13247,oa,FALSE
13247,slr,NA
13247,sst,FALSE
13248,oa,FALSE
13248,slr,NA
13248,sst,FALSE
13249,oa,FALSE
13249,slr,NA
13249,sst,FALSE
13250,oa,FALSE
13250,slr,NA
13250,sst,FALSE
13251,oa,FALSE
13251,slr,NA
13251,sst,FALSE
13252,oa,FALSE
13252,slr,NA
13252,sst,NA
13583,oa,FALSE
13583,slr,FALSE
13583,sst,TRUE
13704,oa,FALSE
13704,slr,NA
13704,sst,TRUE
14049,oa,FALSE
14049,slr,FALSE
14049,sst,FALSE
14549,oa,FALSE
14549,slr,FALSE
14549,sst,TRUE
15269,oa,FALSE
15269,slr,TRUE
15269,sst,TRUE
15421,oa,FALSE
